tx_id,user_id,transaction_type,amount,channel,velocity_10m,timestamp,label_fraud
TX000000,admin,transfer,219.59,ach,0,2026-04-12 10:47:00,0
TX000001,admin,deposit,257.78,branch,1,2026-04-11 16:41:00,0
TX000002,emp_finance02,payment,2239.96,mobile,2,2026-04-18 14:09:00,0
TX000003,admin,transfer,39967.31,wire,6,2026-04-11 01:29:00,1
TX000004,emp_finance01,withdrawal,32745.11,atm,9,2026-04-11 23:04:00,1
TX000005,user01,withdrawal,11465.93,atm,3,2026-04-12 12:53:00,0
TX000006,emp_finance02,withdrawal,5368.0,wire,1,2026-04-14 17:46:00,0
TX000007,emp_finance01,payment,7916.4,wire,0,2026-04-19 13:52:00,0
TX000008,analyst,withdrawal,11771.64,atm,3,2026-04-16 11:56:00,0
TX000009,emp_finance02,deposit,29786.25,mobile,12,2026-04-17 23:14:00,1
TX000010,admin,deposit,6891.6,ach,0,2026-04-16 14:24:00,0
TX000011,user01,transfer,4434.74,atm,2,2026-04-10 16:41:00,0
TX000012,emp_finance01,payment,11815.26,ach,1,2026-04-14 16:58:00,0
TX000013,emp_finance01,payment,1239.66,atm,2,2026-04-15 17:01:00,0
TX000014,admin,withdrawal,1942.16,branch,3,2026-04-09 09:04:00,0
TX000015,analyst,payment,8660.51,wire,1,2026-04-11 11:19:00,0
TX000016,emp_finance02,withdrawal,3622.86,mobile,0,2026-04-13 13:35:00,0
TX000017,emp_finance02,payment,174376.11,wire,11,2026-04-21 01:32:00,1
TX000018,emp_finance02,transfer,11742.06,mobile,3,2026-04-10 11:26:00,0
TX000019,user01,transfer,2847.29,branch,0,2026-04-16 09:46:00,0
TX000020,emp_finance01,deposit,4299.56,ach,3,2026-04-19 12:55:00,0
TX000021,analyst,deposit,178689.7,branch,9,2026-04-20 02:26:00,1
TX000022,analyst,payment,7221.49,wire,2,2026-04-08 14:50:00,0
TX000023,emp_finance01,transfer,11133.45,atm,1,2026-04-18 10:13:00,0
TX000024,emp_finance02,transfer,164756.41,ach,14,2026-04-21 02:54:00,1
TX000025,emp_finance01,deposit,221672.94,ach,15,2026-04-22 23:39:00,1
TX000026,user01,deposit,9043.06,atm,2,2026-04-16 11:08:00,0
TX000027,emp_finance02,payment,7487.16,mobile,1,2026-04-14 09:16:00,0
TX000028,admin,payment,8630.99,mobile,0,2026-04-12 17:52:00,0
TX000029,admin,withdrawal,1091.64,atm,1,2026-04-18 16:18:00,0
TX000030,analyst,payment,9055.94,mobile,0,2026-04-21 12:40:00,0
TX000031,analyst,transfer,33024.74,mobile,13,2026-04-14 03:45:00,1
TX000032,emp_finance02,deposit,226036.81,branch,11,2026-04-13 01:35:00,1
TX000033,emp_finance01,payment,119753.56,ach,9,2026-04-12 04:15:00,1
TX000034,emp_finance02,deposit,3262.89,mobile,1,2026-04-10 11:51:00,0
TX000035,emp_finance01,deposit,37818.75,mobile,9,2026-04-18 01:10:00,1
TX000036,emp_finance02,withdrawal,11266.35,mobile,2,2026-04-09 13:50:00,0
TX000037,analyst,payment,3199.76,mobile,2,2026-04-12 12:32:00,0
TX000038,user01,payment,17892.74,wire,7,2026-04-13 02:27:00,1
TX000039,emp_finance01,withdrawal,4101.16,atm,0,2026-04-11 12:27:00,0
TX000040,analyst,payment,11683.08,wire,2,2026-04-14 09:19:00,0
TX000041,emp_finance01,payment,8767.36,atm,2,2026-04-16 10:35:00,0
TX000042,emp_finance02,deposit,10426.65,branch,3,2026-04-15 15:43:00,0
TX000043,emp_finance02,withdrawal,10655.42,branch,1,2026-04-12 09:19:00,0
TX000044,admin,withdrawal,95192.72,wire,12,2026-04-08 22:40:00,1
TX000045,admin,deposit,1967.0,mobile,3,2026-04-19 09:11:00,0
TX000046,analyst,deposit,7341.41,ach,2,2026-04-10 15:57:00,0
TX000047,user01,deposit,11445.98,branch,1,2026-04-09 12:40:00,0
TX000048,emp_finance01,withdrawal,9142.91,branch,2,2026-04-08 13:34:00,0
TX000049,analyst,deposit,5557.72,mobile,3,2026-04-17 14:34:00,0
TX000050,user01,payment,3372.75,wire,3,2026-04-15 17:00:00,0
TX000051,analyst,transfer,7628.37,wire,1,2026-04-18 15:27:00,0
TX000052,emp_finance01,deposit,5439.55,ach,1,2026-04-13 15:34:00,0
TX000053,analyst,payment,236.27,branch,1,2026-04-22 15:16:00,0
TX000054,analyst,transfer,11518.56,ach,2,2026-04-09 14:05:00,0
TX000055,emp_finance02,withdrawal,240143.54,mobile,6,2026-04-10 01:01:00,1
