log_id,user_id,activity_type,file_path,timestamp,label_anomaly
LOG000000,dev01,Delete,/hr/salaries_2026.xlsx,2026-04-12 02:44:00,1
LOG000001,admin,Modify,/shared/reports/Q1_summary.pdf,2026-04-14 17:27:00,0
LOG000002,analyst,FileCopy,/projects/specs.md|/backup/internal_mirror/report.pdf,2026-04-16 16:11:00,0
LOG000003,user01,Delete,/finance/ledger_gl.db,2026-04-21 01:10:00,1
LOG000004,admin,FileDownload,/intranet/forms/holiday.pdf,2026-04-13 10:32:00,0
LOG000005,user02,Read,/tmp/draft_notes.txt,2026-04-22 14:11:00,0
LOG000006,user02,Read,/shared/reports/Q1_summary.pdf,2026-04-14 12:39:00,0
LOG000007,analyst,FileCopy,/keys/signing_key.pem|C:/Users/Public/unauth_copy.pem,2026-04-17 01:21:00,1
LOG000008,dev01,Read,/shared/reports/Q1_summary.pdf,2026-04-17 15:03:00,0
LOG000009,contractor_x,FileDownload,/intranet/forms/holiday.pdf,2026-04-12 13:38:00,0
LOG000010,analyst,Modify,/keys/signing_key.pem,2026-04-17 01:45:00,1
LOG000011,admin,Modify,/shared/reports/Q1_summary.pdf,2026-04-17 14:08:00,0
LOG000012,dev01,Modify,/projects/specs.md,2026-04-21 10:44:00,0
LOG000013,admin,Read,/shared/reports/Q1_summary.pdf,2026-04-21 17:57:00,0
LOG000014,user01,FileDownload,/intranet/forms/holiday.pdf,2026-04-17 10:07:00,0
LOG000015,admin,FileCopy,/tmp/draft_notes.txt|/backup/internal_mirror/report.pdf,2026-04-15 12:53:00,0
LOG000016,admin,FileDownload,/intranet/forms/holiday.pdf,2026-04-21 09:45:00,0
LOG000017,dev01,FileDownload,/vault/confidential_bundle.zip,2026-04-18 23:38:00,1
LOG000018,contractor_x,Read,/shared/reports/Q1_summary.pdf,2026-04-14 14:11:00,0
LOG000019,user02,Delete,/projects/specs.md,2026-04-19 08:22:00,0
LOG000020,user02,Delete,/finance/ledger_gl.db,2026-04-22 23:29:00,1
LOG000021,user01,Read,/tmp/draft_notes.txt,2026-04-14 08:56:00,0
LOG000022,analyst,Modify,/projects/specs.md,2026-04-19 09:08:00,0
LOG000023,admin,Read,/shared/reports/Q1_summary.pdf,2026-04-19 10:07:00,0
